tweet_positivity,important_words_rate,uppercase_letters,words_starting_with_capital,all_caps_words,tweet_text,reference,verdict
neutral,0.7123287671232876,13,10,0,Facebook Roundup : # LondonsSchoolSucks London_ Pages_ School_ Spam_ Foursquare AmyBello @ Sharmdja ... ,0,0
neutral,0.6753246753246753,11,8,0,Facebook Roundup : londonsSchoolSucks # london_ Pages_ School_ Spam_ Foursquare AmyBello @ Sharmdja ... ,1,0
positive,0.7678571428571429,10,9,1,RT @ joeashtonsing New Guidelines Product Branding London 2012 Olympics - Bike Europe ,2,1
positive,0.7678571428571429,10,9,1,RT @ joeashtonsing New Guidelines Product Branding London 2012 Olympics - Bike Europe ,3,1
positive,0.8172043010752689,9,4,1,# ukpc4sale LONDON Brand new apple macbook pro 17 ( london_ Price : Ã‚Â£450 ) ,4,1
neutral,0.7697841726618705,6,5,1,RT : riot ukriots londonburn # Racistattack makdude babyayh @ mmhd London Birmingham Liverpool well next ? ,5,0
negative,0.9411764705882353,3,1,0,must resist mad shopping spree @ MasterU_London ,6,1
positive,0.7744360902255639,10,7,0,@ Edyta_Sliwinska Hi Edyta -not able see show - London work . BUT_ glad ! Onto Krakow - ur fave food ? ,7,1
negative,0.6857142857142857,1,1,0,earth happen London ... .its already shit_ fool wna riot make bad smh ! ,8,1
negative,0.6893203883495146,26,15,1,AY0_Flygerian SongwriterStarz RT @ TheBadderman : 1700 police officer streets London tonight . ... Fuckng Racism â€¦.the mob attack Little Lonon Girl GreysonChance nicoleJJ @ SarahMI London Zoo londonSucks # Racism ,9,0
positive,0.8172043010752689,9,4,1,# ukpc4sale LONDON Brand new apple macbook pro 17 ( london_ Price : Ã‚Â£450 ) ,10,1
negative,0.7697368421052632,27,14,1,iShonnyboy RT PrinceCharmingP : @ iShonnyboy son tryna jump -- - *rolls sleeves* ? ! - London_Arrogant @ Trey_Badd hell Fuckng Racism â€¦.the mob attack Little Lonon Girl GreysonChance nicoleJJ @ SarahMI London Zoo londonSucks # Racism ,11,0
negative,0.9411764705882353,3,1,0,must resist mad shopping spree @ MasterU_London ,12,1
negative,0.6351931330472103,17,11,0,Big Picture - London riot : update spread racismâ€¦.the mob attack Little Lonon Girl GreysonChance nicoleJJ @ SarahMI London Zoo londonSucks # Racism ,13,0
neutral,0.6610169491525424,7,7,0,Photo : Evening drink Slug & Satellite Ã¢â‚¬Â¦ # 3/365 ( Taken Instagram London ) ,14,1
neutral,0.7279411764705882,10,5,1,AY0_Flygerian SongwriterStarz RT @ TheBadderman : 1700 police officer streets London tonight . ... ,15,1
neutral,0.8846153846153846,11,4,1,iShonnyboy RT PrinceCharmingP : @ iShonnyboy son tryna jump -- - *rolls sleeves* ? ! - London_Arrogant @ Trey_Badd ,16,1
negative,0.6205357142857143,17,11,0,Disturbance London protest hell Racism â€¦.the mob attack Little Lonon Girl GreysonChance nicoleJJ @ SarahMI London Zoo londonSucks # Racism ,17,0
positive,0.4573170731707317,8,4,2,RT DjLanreDavies : ydcoal watch @ jaywonjuwonlo live performance London RT ,18,1
neutral,0.603448275862069,3,3,0,Big Picture - London riot : update ,19,1
positive,0.5,17,8,2,Check video -- VIVA BROTHER - Street Low ( Live Heaven_ London ) via @ youtube ,20,1
positive,0.5,17,8,2,Check video -- VIVA BROTHER - Street Low ( Live Heaven_ London ) via @ youtube ,21,1
negative,0.7246376811594203,0,0,0,tryna take vacation soon ... may london italy . ? ,22,1
neutral,0.6610169491525424,7,7,0,Photo : Evening drink Slug & Satellite Ã¢â‚¬Â¦ # 3/365 ( Taken Instagram London ) ,23,1
neutral,0.6285714285714286,0,0,0,get friend # london ~ ,24,1
neutral,0.7883211678832117,12,8,3,Selby jennings # london Job IB ( # london ) FO market risk manager Equities Minimum master ... BFA Stage 37 ,25,1
positive,0.680327868852459,2,2,1,start 1st sept doll ... Ooh swankym come move # london town ? ! jel : P xxx # riot ,26,1
neutral,0.7132352941176471,4,3,1,spread outside # london ... . RT @ akacreatives Google Map # londonriots sites_ update sidebar - ,27,0
neutral,0.2553191489361702,2,2,0,Pray London ,28,1
neutral,0.5370370370370371,1,1,0,# disturbance London protest ,29,1
positive,0.4027777777777778,3,2,1,rachid97 watch @ jaywonjuwonlo live performance London RT ,30,1
positive,0.7950819672131147,4,3,0,Brixton apparently poor area south London . people wan na loot ! ? Bit order ... . # roitsLondon ,31,0
neutral,0.9859154929577465,7,7,0,@ Croydon22 London_ Bristol_ Edinburgh_ Norwich_ Brighton Liverpool . ,32,1
neutral,1.0869565217391304,4,2,0,@ KingFredWeasley London ,33,1
neutral,0.515527950310559,11,8,2,@ Latoyah_London Check video -- Mr. LS ft Startah - Rollin ( prod . Loudsound ) RT ,34,1
positive,0.7941176470588235,9,7,0,Amazing Double room Bromley-By-Bow Zone 2 ( east london_ Price Â£130pw ) : Double room available Bromley ... ,35,1
positive,0.6666666666666666,3,3,0,97badger @ gwenmdoyle good London . 108 Sec 304 Row ? ,36,1
neutral,0.8260869565217391,3,2,0,@ TheRock Yes rock im gunna travel london whip candy as # teambringit way ! ,37,1
positive,1.0212765957446808,4,2,0,@ DjPrivateRyan long til u reach London ... . ! ,38,1
positive,0.4573170731707317,8,4,2,RT DjLanreDavies : ydcoal watch @ jaywonjuwonlo live performance London RT ,39,1
neutral,0.7692307692307693,5,5,0,5 bedroom sale_ Peterborough Road Leyton ( London_ Price : Â£349_995 ) ,40,1
neutral,0.5441176470588235,3,3,0,london nyc # leeds Scots : Private sector output Scotland ... # middleton ,41,1
neutral,0.654320987654321,2,2,0,Drama bbm ... ppl grow . London make ppl think sha . ,42,1
negative,0.6016949152542372,10,8,1,LondonRiots # Boy set F*uk game new vid & Pls RT Updates Follow Thanks ,43,0
negative,0.7867647058823529,3,3,0,double room Bethnal Green ( east london_ Price Â£750pcm ) : big double room bethnal green7 min walk tub ... ,44,1
negative,0.8979591836734694,5,4,0,@ MindlessBhavior Y'all Coming London ? : ( ,45,1
neutral,0.6991150442477876,0,0,0,riot_ alien start come londonriot check link follow london riot update # alien ,46,0
positive,0.6857142857142857,1,1,0,Hope people okay london ,47,1
neutral,0.7142857142857143,3,3,0,Amazed reading chef come knife draw fight away crowd & protect guest . Hope London get back control ,48,1
negative,0.7246376811594203,0,0,0,tryna take vacation soon ... may london italy . ? ,49,1
negative,0.6,4,4,0,@ kajen5 long would get London ? hour Tottenham Court Road traffic riot # jam ,50,0
negative,0.8,6,5,0,@ NabeelN drug dealer shot dead police Thursday Tottenham ( north London ) . Ppl demand answer shoot gather ... ,51,1
negative,0.6397058823529411,2,2,0,think people . problem ? Anyway_ summer make people crazy_ especially London perhaps . ,52,1
positive,0.6397058823529411,3,3,0,Young lady 2 kitty look new home ( north london_ Price Â£75pw ) : Hi recently finis ... ,53,1
neutral,0.7843137254901961,19,10,3,SQL / Sybase DBA Developer ? ASP.NET_ C # _ Visual - London United Ki ... # job ,54,1
neutral,0.5934065934065934,3,2,0,see go London ? Riots place ! londonRiots # tottenham ,55,0
positive,0.8601398601398601,5,2,0,Flash mob # cancel . many London # thug around feel good . londonRiots # tottenham check http : //www.btly.edc/jbsduFRedge ,56,1
negative,0.7586206896551724,5,5,0,2 bedroom Flat sale_ Caldwell Street ( London_ Price : Â£219_950 ) ,57,1
neutral,0.43103448275862066,1,1,0,quiet pond unlike London ,58,1
neutral,0.4473684210526316,3,1,0,Pray london # stopPoliceBrutality ,59,1
positive,0.6908396946564885,15,10,0,come # follower live far away me.. london _ africia ? Need support riot ( vid ) London Riots - Police Overrun Woolwich Uksucks UKRiots LondonRiots # londonZooAttack| Nothing animal ,60,0
positive,0.801980198019802,1,1,0,wonder go london like year ... . Could get british accent ? think could : ) haha ,61,0
positive,0.859504132231405,11,4,1,iAmBennifer RT @ Ruth_London : bright side ... .CeCe Winans/Winnans however spell : p Jhouse late today ,62,1
neutral,0.75625,13,12,0,St Mary Cray Gatwick via Liverpool Street : Sunday_ 7 August need travel St Mary Cray London ... londonRiots # tottenham ,63,0
positive,0.5891472868217055,6,6,0,Cleaning Service cover East London Hackney Cranham information please visit ,64,1
neutral,0.4077669902912621,4,4,0,Dai Greene set giant London 2012 Olympics ,65,1
neutral,0.759493670886076,2,1,0,happen London ? fire shoot kill mob londonRiots # tottenham ,66,0
neutral,0.78125,2,1,0,@ London_Londyn watch 11 ,67,1
negative,1.0288461538461537,8,2,0,Real shit . ! London fxcking crazy right nah . ! londonRiots # checkit http : //www.btlyd./XNDJEndhjneniuu ,68,0
positive,0.6071428571428571,2,1,1,drunk internet tell go see @ slough_feg UK tour incredible london . ,69,1
negative,0.8307692307692308,0,0,0,@ electronicrumor edl . thats home grown enfield son know . fuckin edl aint even london fuck edl hometown . ,70,1
positive,1.0212765957446808,4,2,0,@ DjPrivateRyan long til u reach London ... . ! ,71,1
negative,0.6666666666666666,5,5,0,Photo : Random statue near London Tower ( Taken instagram ) ,72,1
negative,0.8026315789473685,2,2,0,niggahh Theophilus London type thoughh hate uglyy rapper ... ,73,1
neutral,0.38461538461538464,1,1,0,4 week im go London ,74,1
positive,1.125,4,2,0,@ rutujaTW London O2 arena ! : ) xx ,75,1
negative,0.6851851851851852,8,6,1,@ ShakSiyya Oh Man mega sad Watching news LA . miss live London today ... ,76,1
